D03B,D03B1
ELECTRICITY,3510
CONSULTANCY IN GENDER SERVICES,7020
RADIO BROADICATION,6010
ITANGAZAMAKURU,6110
IMIRIMO YO MU RUGO,9700
IMIRIMO YO MU RUGO,8010
UBWUBATSI BW'AMAZU BUHANITSE,4290
IMIRIMO Y'IMIRYANGO MPUZAMAHANGA MU ITERAMBERE RY'ICYARO,9900
IMIRIMO YO MIRIMO,9700
WORKING WITH FARMERS IN AFRICA TO INCREASE PRODUCTIVITY & COMBAT POVERTY/HUNGER,161
SALON DE COIFFURE,9602
BOURBON COFFEE AND DUTY FREE OPERATION,5610
IMIRIMO YO MU RUGO,9700
UBKANISHI BWA PRINTERS NA COMPUTERS,9511
UBUCURUZI BW'IMYENDA Y'ABADAMU,4771
GUTEKA NO KUGABIRIRA ABANTU(RESTAURANT),5610
UBUCURUZI BUDANDAZA IMYENDA NINKWETO,4771
UBUCURUZI BW'IMYENDA,4782
UBUCURUZI B'INKWETO MWISOKO,4771
COMPANY YUBUKERARUGENDO,9321
SERVICE ZA RESTORA,5610
IMIRIMO YO MURUGO,9700
IBARURISHAMIBARE,8411
UBUREZI BWINCUKE,8510
IMIRIMO YO MURUGO,9700
SOFTWARE DEVELOPMENT,7490
IMIRIMO YO MURUGO,9700
UBUCURUZI BUDANDAZA IMYENDA,4771
IMIRIMO YA GIRIKARE,8422
UBUCURUZI BUDANFAZA IMYENDA,4771
KWITA KU BANA BO MU CYARO,8890
KWITA KU BANA,8890
IMIRIMO YO MURUGO,9700
UBWUBATSI BWAMAZU,4100
UBUDOZI BWIMYENDA,1410
UBUCURUZI BWIBITENGE BUDANDAZA,4782
NGO IBUNGABUNGA IBIDUKIKIJE,8890
UBUCURUZI BUDANDAZA IBYO KURYA NO KUNYWA(CANTINE),5610
IMIRIMO YO MU RUGO,9700
IMIRIMO YA LETA,8411
UBUCURUZI BURANGUZA AMAVUTA YO KWISIGA,4649
IMIRIMO YO MURUGO,9700
IMIRIMO YO MURUGO,9700
IMIRIMO YO MURUGO,9700
GUTWARA IMIZIGO,4923
BACUMBIKIRA ABANTU  BAKANABAGABURIRA,5510
BAKORA INKWETO ZA BODABODA,1520
UBUCURUZI BWIBIRIBWA NIBINYOBWA,4711
UMUTEKANO,9609
URUGANDA RUKORA AMARANGI,2022
UBWIKOREZI BWOMUKIRERE,5110
GUTERA INDABO NOGUTUNGANYA UBUSITANI,8130
UBUCURUZI BWAMAFI,4721
KOGOSHA ABANTU IMISATSI,9602
COMPANY MANAGEMENT,7020
COMPANY MANAGEMENT,7020
GUTWARA ABANTU KURI MOTO,4921
GUTWARA ABANTU KURI MOTO,4921
UBUREZI MU MASHURI MAKURU,8530
MANUFACTURING OF ELECTRONIC PAYMENT& BANKING EQUIPMENT,1812
UBUCURUZI BW'MUDASOBWA NIBIZIGIZE,4741
SERVICE ZA SALON DE COIFFURE,9602
IMIRIMO YO MU RUGO,9700
UBWUBATSI BW' AMAZU,4100
GUKORA URWAGWA,1101
URUGANDA RUTUNGANYA IFARINI,1061
IMIRIMO YO GUHUZA ABAGURA N'ABAGURISHA,6612
UBUCURUZI BW'IMYENDA,4751
UBUCURUZI BW'IMYENDA,4751
UBWUBATSI BWAMAZU,4100
UBWIKOREZI BWO KUBUTAKA,4922
GUKORA AMASUKU MUNGO,8121
ITANGAZA MAKURU RYANDIKA,5813
GUTWARA IMIZIGO,4922
IMIRIMO YO MURUGO,9700
ENGENEERING AND CONSULTANCE,7110
UBUCURUZI MURI QUENCALLERI,4759
GUTUNGANYA ZAHABU,729
GUTUNGANYA ZAHABU,729
UMUTEKANO WABANTU NIBYABO,8010
UBWUBATSI BWAMAZU ASANZWE,4100
GUKANIKA IBINYABIZIGA,4520
UBUCURUZI MURI CANTINE,5629
TRANSPORT YA BANTU NIBINTU,4921
UBUCURUZI BWIBIRIBWA,4781
BACURUZA IBIRIBWA,4781
UBWITEGANYIRIZE  BW'ABANTU N'IBINTU,6511
UBWISHINGIZI BW'ABANTU N'IBINTU,6511
IMIRIMO YO MU RUGO,9700
UBUCURUZI BWIBIRIBWA,4721
UBUCURUZI BWIBIRIBWA,4721
UBWUBATSI BW'AMAZU,4100
UBUCURUZI BWA AVOKA,4799
UBUCURUZI BW' IMYENDA,4782
BAGURISHA AMABUYE YAGACIRO,4662
KUBAKA INZU ZO KUBAMO,4100
UBUKANISHI BW'IBINYABIZIGA,4520
UBUCURUZI BW'IMBUTO,4799
UBWUBATSI BW'AMAZU,4100
SECURITY SERVICES,8010
KUBAK INZU ZISANZWE BAKORESHE RUKARAKRA,4100
UBWUBATSI BW'INZU,4100
UBWUBATSI BW'AMAZU ASANZWE,4100
UBUHINZI BW'IBISHEKE,114
KUBUMBA AMATAFARI MU IBUMBA AGURISHWA,2392
UBWUBATSI BWAMAZU,4100
UBUCURUZI BWIBIRIBWA,4781
UBUCURUZI BWIBINYOBWA BISEMBUYE,4722
UBUHINZI BWIBISHYIMBO,111
UBUKANISHI BWAMAGARE,9529
UBUHINZI BW'IBISHYIMBO NAMASAKA,111
UBWUBATSI BW'AMAZU YOGUTURWAMO,4100
UBUHINZI BW'IBISHYIMBO,111
GUTWARA ABANTU NIBINTU KURI MOTO,4921
UBUCUKUZI BWAMABUYE YO KUBAKA,810
GUTWARA ABANTU N'IBINTU K'UBUTAKA,4921
UBUDOZI BW'IMIFUKA YO GUHAHIRAMO,1702
GUTWARA ABANTU MU MUJYI,4921
UMURIMO WO GUTANGA AMAFUNGURO KUBANTU,5610
IMIRIMO YO MU RUGO,9700
UBWUBATSI BW'AMAZU,4100
UBUHINZI BW'IBISHYIMBO,111
URUGANDA RUTUNGANYA IKAWA,1079
UBWOROZI BW'INKOKO,146
UBUHINZI BW'IBISHYIMBO,111
GUTUNGANYA IKAWA IKAGURISHWA,1079
GUKORA AMASUKU MUMIHANDA NOMA BIRO,8121
IMIRIMO YO GUTUNGANYA UBUSTANI,8130
UBWOROZI BW'INKA,141
UBUHINZI NGANDURARUGO,113
GUKORA ISUKU KU MUHANDA,8129
UBUNZINZI BW'IBIHINGWA NGANDURARUGO,113
KUBAKA AMASHULI,4100
KUBAKA AMASHULI,4100
UBUHINZI BWIBINYAMPEKE,111
UBWOROZI BWA AMATUNGO,141
UBUHINZI BW'IBISHYIMBO,111
KWINAZA INGEMWE Z'IBITI,125
UBUHINZI BW'IBISHYIMBO,111
UBUHINZI BW'IBISHYIMBO,111
IMIRIMO YO MU RUGO,9700
GUTWIKA AMATAFARI,810
GUTWIKA AMATAFARI,810
UBWOROZI BW'INKA,141
UBUHINZI BW'IBISHYIMBO,111
UBUHINZI BW'UMUCERI MU GISHANGA,112
UBUHINZI BW'UMUCERI,112
GUCUNGA UMUTEKANO W'ABANTU N'IBINTU,8010
UBUREZI MU MASHURI ABANZA,8510
IMIRIMO YO MU RUGO,9700
UBUHINZI BW'URUTOKI,119
GUTUNGANYA IBIRIBWA,5610
IMIRIMO YO MU RUGO,9700
CONSULTANCE IN ECONOMIC STUDIES,7020
IMIRIMO YO MURI IMPRIMERIE,1812
SERVICES ZA BANK,6419
SOFTWARE DEVELOPMENT,6201
IMIRIMO YO MU RUGO,9700
UBUCURUZI BUDANDAZA IMIRIMBO,4753
UBUCURUZI BW'IMITI,4772
IKIGO CYIGIHUGU GISHINZWE KWITA KUBUZIMA,8412
GUTWARA ABANTU,4922
IMIRIMO YO MU RUGO,9700
GUTWARA ABANTU MU MUHANDA,4921
IMIRIMO YO MU RUGO,9700
UBUCURUZI BUDANDAZA IBIRIBWA,4711
UBUVUZI BW'ABANTU,8610
GUTUNGANYA IMISATSI,9602
UBUCURUZI BUDANDAZA IBIKORESHO BYO MUGIKONI,4719
UBUCURUZI BUDANDAZA IBIKORESHO BYO MUGIKONI,4719
IMIRIMO YO MURUGO,9700
UBUCURUZI BUDANDAZA IBIKORESHO BYO MU GIKONI,4719
BAKODESHA IBIKORESHO BY'UBWUBATSI,7730
IMIRIMO YO MU RUGO,9700
IMIRIMO YO RUGO,9700
GUCUNGA UMUTEKANO W' IGIHUGU,8020
IMIRIMO YO MU RUGO,9700
UBUCURUZI BW'INKA,4620
SERVICES ZA RESTORANT,5610
ITANGAZAMAKURU,5813
UBUREZI MU MASHURI YISUMBUYE,8521
IMIRIMO YO MU RUGO,9700
GUTEZA IMBERE UBUHINZI N'UBWOROZI,8411
UBUDOZI BW'IMYAMBARO,1410
IMIRIMO YO MURUGO,9700
GUCUNGA UBUSUGIRE BW'IGIHUGU,8423
BUILDING AND MAINTAING TOWERS OF TELECOMMUNICATION COMPANIES,6130
EDUCATION SECONDAIRE,8521
PRODUCTION & DISTRIBUTION OF POWER,3510
GUKORA & GUKWIRAKWIZA AMASHANYARAZI,3510
IMIRIMO YO MU RUGO,9700
IMIRIMO YO MU RUGO,9700
GUSUKA NO KUDEFIRIZA,9602
KUBIKA NO GUHUNIKA,5210
IMIRIMO YO MU RUGO,9700
GUTUNGANYA IMISATSI,9602
GUTUNGANYA IMISATSI,9602
GUTUNGANYA IMISATSI,9602
IMIRIMO YO MU RUGO,9700
UBUVUZI BW ABANTU,8690
GUTWARA ABANTU MUMODOKA,4921
UBUCURUZI BW'IBIRIBWA NIBINYOBWA,5610
BANKING ACTIVITIES,6419
EXTERNAL AUDITING,6920
IMIRIMO YO MURUGO,9700
"KWANDIKA IBYAPA ,GUSHUSHANYA NO GUKORA LOGO",7410
UBUCURUZI BWIGANJEMO IBIRIBWA,4721
UBUCURUZI BW' IBIRIBWA BWIGANJEMO IMBOGA,4711
UBUCURUZI BWIBIRIBWA HIGANJEMO IMBOGA,4711
IMIRIMO YO MU RUGO,9700
GUKORA AMAZI,1104
GUKORA DECLARATION Z'IMISORO,6920
UBWUBATSI BW'AMAZU ASANZWE,4100
WAST WATER MANAGEMENT,3700
IMIRIMO YO MURUGO,9700
KURANGUZA AMAKARISO MU IDUKA,4751
KURANGUZA IMYAMBARO MU IDUKA,4751
IMIRIMO YO MURUGO,9700
IMIRIMO YO MURUGO,9700
UBUHINZI BWA KAWA,127
GUKODESHA INZU Z'UBUCURUZI,6810
ABIKORERA MU GUCUNGA UMUTEKANO,8010
UBUDANDAZI BW'IMBOGA MU MUHANDA,4799
UBUCURUZI BW'IBIRIBWA,4711
GUKORA AMASUKU,8121
WHOLESALE OF PHARMACEUTICALS,4610
AIR CONDITIONING SUPPLY,3530
IMIRIMO YO MURUGO,9700
ABIKORERA MU KURINDA UMUTEKANO,8010
GUTUNGANYA UMUSARURO W'IKAWA,1079
UBWUBATSI BW'AMAZU,4100
UBUCURUZI BW' IBYOMBO,4773
UBUCURUZI BWIBYOMBO,4773
GUSANA AMAMODOKA( IGARAGE),4520
GUKORA IBINYOBWA,1104
IMIRIMO YINZEGO ZA LETA,8411
IMIRIMO YO MURUGO,9700
UBUCURUZI BW' AMAKARA,4789
BAKORA IMIHANDA,4210
GUTWARA ABANTU KURI MOTOR,4921
GUSANA IMYENDA YANGIRITSE,9529
UBWOROZI BW'INGURUBE,145
UBWOROZI BW'INGURUBE,145
UBWOROZI BW'INGURUBE,145
UBUCURUZI BUDANDAZA IBIRIBWA MU MUHANDA,4799
GUCUNGA UMUTEKANO,8010
UBUHINZI BW'IMYUMBATI,113
UBWUBATSI BW'AMAZU,4100
UBUCURUZI BWA MOBILE MONEY,6499
UBWUBATSI BW'AMAZU,4100
GUTUNGANYA NO KOGOSHA IMISATSI,9602
UBUROBYI BW'AMAFI,312
UBUROBYI BW'AMAFI,312
UBUROBYI BW'AMAD,312
UBWIKOREZI BW'IBICURUZWA,4923
KUDODA  IMYENDA,1410
IMIRIMO YINZEGO ZIBANZE,8412
IMIRIMO YO MU RUGO,9700
ABAKORA DESIN KU BYAPA,7410
IMIRIMO YO MU RUGO,9700
BANK SERVICES,6419
IMIRIMO YO MU RUGO,9700
IMIRIMO YO MU RUGO,9700
IMIRIMO YO MU RUGO,9700
UBUCURUZI BW'IBIRIBWA MURI BOUTIQUE,4711
UBUCURUZI BWO MURI BOUTIQUE,4711
IMIRIMO YO MU RUGO,9700
BAKORA AMASUKU MU NYUBAKO ZITANDUKANYE,8121
UBUCURUZU BWAMATUNGO MU ISOKO,4781
GUCURUZA INIRIBWA MURI BOUTIQUE,4781
UBUCURUZI BWA BOUTIQUE,4781
IMIRIMO YO MURUGO,9700
UBWUBATSI BWAMAZU,4100
UBWUBATSI BWAMAZU,4100
KUDODA IMYAMBARO,1410
IMIRIMO YO MURUGO,9700
BUILDING CONSTRUCTION,4100
IMIRIMO YO MURUGO,9700
GUCUNGA UMUTEKANO,8423
UBUVUZI BWA BANTU,8610
DOMESTIC WORK,9700
GUSHYIRAHO POLICY Y'ITANGWA  YAMASOKO YA LETA,8411
IMIRIMO YO MURUGO,9700
IMIRIMO Y'INGABO,8422
KWAKYIRA ABANTU MURI RESTAURANT,5610
GUTWARA ABANTU KURI MOTO,4921
UBUCURUZI BWINYANYA MU ISOKO,4781
UBWUBATSI BWAMAZU,4100
IMIRIMO YO MURUGO,9700
UBUCURUZI BWA SERVICE ZA MOBILE MONEY,6499
IMIRIMO YO MU RUGO,9700
KUDANDAZA INDIRIMBO NA FILME,4789
UBUHINZI BW'IMBOGA,113
UBUHINZI BW'IMBOGA,113
INSTALATION Y'AMASHANYARAZI MU NGO,4321
UBUHINZI BW'IMBOGA,113
UBUHINZI BW'IMBOGA,113
UBWUBATSI BW'AMAZU,4100
UBUHINZI BW'IMBOGA,113
GUTWARA ABANTU KURI MOTO,4921
UBWUBATSI BW'AMAZU,4100
GUTUNGANYA NO KOGOSHA IMISATSI,9602
UBUHINZI BW'IBIGORI,111
KOZA IMODOKA,4520
KOZA IMODOKA,4520
UBWUBATSI BW'AMAZU,4100
SERVICES ZA RESTORANT,5629
SERVICES ZA RESTORANT,5610
UBUCURUZI BWIMBOGA NIMBUTO,4799
GUKORA PACKAGING MATERIALS,1702
UBUDANDAZI BWIGANJEMO IBIRIBWA BWO IDUKA RITAHARIYE,4711
IMIRIMO YO MURUGO,9700
UBUCURUZI BWA TELEPHONE ZAKOZE,4774
UBWUBATSI BW'AMAZU,4100
UBUCURUZI BUDANDAZA IBIRIBWA,4711
UBUHINZI BW'UMUCERI,112
UBUHINZI W'UMUCERI,112
UBUHINZI BW'UMUCERI,112
UBUHINZI BW'UMUCERI,112
UBUHINZI BW'UMUCERI,112
UBUHINZI BW'UMUCERI,112
UBUHINZI BW'UMUCERI,112
UBUHINZI BW'UMUCERI,112
UBUHINZI BW'UMUCERI,112
UBUHINZI BW'UMUCERI,112
UBWUBATSI BW'AMAZU,4100
UBUHINZI BW'IBITUNGURU,113
UBUHINZI BW'IBITUNGURU,113
UBUHINZI BW'IBITUNGURU,113
GUTWARA IBINTU,4923
IMIRIMO YO MURUGO,9700
UBUHINZI BW'INDABO,119
UBUHINZI BW'AMASHAZA,111
UBUHINZI BW'AMASHAZA,111
UBUCURUZI BW'INKWETO MU ISOKO,4782
UBUHINZI BW'IBIGORI,111
UBUCURUZI BWA MITUYU,6190
UBUHINZI BW'UMUCELI,112
UBUHINZI BWUMUCELI,112
UBUHINZI BWIBISHYIMBO,111
UBUHINZI BWURUTOKI,122
UBUHINZI BWUMUCERI,112
UBUDANDAZI BWIBIRIBWA MWISOKO,4781
UBUREZI MUMASHURI YISUMBUYE,8521
UBUDOZI BW'INKWETO,9523
UBUHINZI BW'IMBOGA,113
GUKORA AMAZI,1104
UBUCURUZI BWA ME2U NA MOBILE MONEY,6499
UBUDANDAZI BWIMBOGA MU ISOKO,4781
UBWIKOREZI BW'IBINTU KUBUTAKA,4923
UBUDANDAZI BWA BOUTIQUE HIGANJE IBIRIBWA,4711
UBWIKOREZI BWIBINTU KUBUTAKA,4923
KUBITSA NO KUGURIZA AMAFARANGA,6419
UBUCURUZI MURI BUTIKE,4711
UBUCURUZI MURI BUTIKE,4711
IMIRIMO YOMURUGO,9700
RESTAURENT,5610
RESTAURANT,5610
UBUCURUZI BW' AMABASE AMASAFURIYA,4789
UBUBAJI BW' IBIKIRESHO BW' INTEBE N' AMEZA,3100
UBUCURUZI BW' UBUSHERA,5630
UBUHINZI BW'IBISHYIMBO,111
UBWUBATSI BW'AMAZU,4100
KWENGA URWAGWA,1101
UBUHINZI UMUCELI,112
UBUHINZI BWIBIJUMBA,113
UBWOROZI BWINKA,141
GUTUNGANYA ICYAYI,1079
UBUDANDAZI BWIMBUTO MUMASOKO,4781
UBUHINZI BWIBIJUMBA,113
UBUHINZI BWIMYUMBATI,113
UBUHINZI BW'AMASHYAMBA,210
KUBAZA IMBAHO ZIKAGURISHWA,1610
UBUHINZI NUBWOROZI BYUMWUGA,150
KUBOHA IMIPIRA YO KWAMBARA MU BUDODO,1430
UBUHINZI BW'ICYAYI,127
UBWUBATSI BW'IMIHANDA,4210
BENGA URWAGWA BAKARUCURUZA,5630
BENGA URWAGWA BAKARUCURUZA,5630
BUBAKA AMAZU,4100
BUBAKA INZU YO GUTURAMO,4100
BABUMBA AMATAFARI,2392
UBWUBATSI BW'AMAZU,4100
UBWUBATSI BW'AMAZU,4100
KWIGISHA GUCURANGA PIANO,8542
IMIRIMO YO GUKORA ISUKU MU MUHANDA,8129
UBWUBATSI BWAMAZU YOKUBAMO,4100
GUKORA ISUKU MU MIHANDA,8129
IMIRIMO YOMURUGO,9700
UBUHINZI BW' IBISHYIMBO,111
UBUHINZI BW' IBIJUMBA,113
IMIRIMO YO GUKORA ISUKU MU MIHANDA,8129
UBWUBATSI BW'AMAZU,4100
UBUHINZI BWIBIHINGWA BITANDUKANYE,150
UBUHINZI BWIBIHINGWA BUTANDUKA,150
UBWUBATSI BWAMAZU,4100
UBUHINZI BWINGANO,111
UBUHINZI BWICYAYI,127
UBUDOZI BWIMYENDA,1410
UBUHINZI BWICYAYI,127
UBWUBATSI BW'AMAZU,4100
UBWUBATSI BW'AMAZU,4100
UBWUBATSI BW'AMAZU,4100
UBWISHINGIZI,8430
UBWISHINGIZI,8430
BABAZA IMBAHO,1610
BAPIMA IKIGAGE,5630
KOGOSHA IMISATSI,9602
BAPIMA IKIGAGE,5630
BABAZA IMBAHO,1610
UBUHINZI BWICYAYI,127
UBUHINZI BWICYAYI,127
UBUHINZI BWICYAYI,127
UBUHINZI BWIBIGORI,111
UBUHINZI BWIBIGORI,111
UBUREZI BW AMASHURI ABANZA,8510
UBUHINZI BW  INGANO,111
BOGOSHA ABAGABO,9602
BAHINGA INGANO,111
BAHINGA IMBOGA,113
BUBAKA AMAZU YO GUTURAMO,4100
BAHINGA IMBOGA,113
BAHINGA IMBOGA,113
BAHINGA IMBOGA,113
BAHINGA  INGANO,111
BAHINGA INGANO,111
BUBAKA AMAZU YO GUTURAMO,4100
BAHINGA IMYUMBATI,113
BAHINGA INGANO,111
BORORA INKWAVU,149
BACUKURA UMUCANGA,810
BAHINGA IBIJUMBA,113
UBUCURUZI BUDANDAZA UNITE ZA MTN,4799
UBUBUMBYI BWA AMATAFARI,2392
UBUCURUZI BW' AVOKA MW' ISOKO,4781
GUCUNGA UBUSUGIRE BW' IGIHUGU,8422
UBUHINZI BW'UMUCERI,112
UBUHINZI BW'UMUCERI,112
UBUHINZI BW'UMUCERI,112
UBUHINZI BW'UMUCERI,112
UBUHINZI BW'UMUCERI,112
UBWUBATSI BW'AMAZU,4100
IMIRIMO YO MU RUGO,9700
RESTAURENT,5610
UBUCURUZI BUDANDAZA MITIYU ZA MTN,4799
UBWUBATSI BWAMAZU,4100
UBUHINZI BW' UMUCELI,112
UBUKANISHI BWAMAGARE,9529
UBUHINZI BWUMUCERI,112
INSTALLATION Y'AMASHANYARAZA MU NZU,4321
UBUHINZI BW'UMUCERI,112
UBUDOZI BW'IMYAMBARO ABANTU BIZANIYE,1410
GUSARURA AMASHYAMBA,220
UBUHINZI BW'UMUCERI,112
UBWUBATSI BW'AMAZU YO KUBAMO,4100
UBWUBATSI BW'AMAZU ASANZWE,4100
UBUHINZI BW'IMYUMBATI,113
UBWUBATSI BW'AMAZU ASANZWE,4100
UBUHINZI BW'IBIJUMBA,113
UBUBUMBYI BW'AMATAFARI AHIYE,2392
UBWUBATSI BWAMAZU,4100
GUFOTORA,7420
UBUBUMBYI BW'AMATAFARI,2392
UBUBUMBYI BW'AMATAFATI,2392
IVUGABUTUMWA,9491
UBUDOZI BW'IMYENDA YO KWAMBARA,1410
UBUHINZI BWUMUCELI,112
UBUHINZI BWUMUCELI,112
UBUKANISHI BWIMODOKA,4520
UBUBUMBYI BWAMATAFARI,2392
KUBUMBA AMATAFARI,2392
KUBUMBA AMATAFARI,2392
KUBUMBA AMATAFARI,2392
KUBUMBA AMATAFARI,2392
UBWUBATSI BW'AMAZU ASANZWE,4100
UBUBOSHYI BW'UDUTAKO,1629
UBWUBATSI BW'AMAZU ASANZWE,4100
GUKORA AMASHANYARAZI NA NYIRAMUGENGERI,3510
IMIRIMO YO MURUGO,9700
UBUBUMBYI BW'AMATAFARI,2392
UBUBUMBYI BW'AMATAFARI,2392
UBWUBATSI BW' AMAZU,4100
UBUHINZI BW' UMUCELI,112
UBWUBATSI BW' AMAZU,4100
UBUCURUZI BW'IBIRIBWA MURI BUTIKE,4711
UBUHINZI BW'UMUCERI,112
UBUBAJI BW'IBIKORESHO BIKOZE MU BITI,3100
GUTWARA ABAGENZI KURI MOTO,4921
UBUHINZI BW'IMBOGA,113
UBUCURUZI BUDANDAZA IMBOGA MU ISOKO,4799
GUTWARA ABAGENZI NIBINTU KU IGARE,4922
UBUCURUZI BW'IMINEKE MU ISOKO,4781
GUTWARA ABANTU N'IBINTU KUMAGARE,4922
UBUCUKUZI BW'AMABUYE YA CONCASE,810
GUKORA IKIBUMBIRO CY'INKA,162
GUKANIKA 'AMAGARE NA MOTO,4540
UBWUBATSI BW'AMAZU,4100
UBUDANDAZI BUCURUZA AMATA,4799
GUTUNGANYA IMBUTO Z'INDOBANURE,161
GUTWARA ABANTU KU BUTAKA BAKORESHEJE MOTO,4921
UBUCURUZI BUDANDAZA IMBOGA MW'ISOKO,4781
UBWUBATSI BW'AMAZU,4100
UBUKANISHI BW'IMODOKA,4520
UBUCURUZI BUDANDAZA IMBOGA MW'ISOKO,4781
UBUHINZI BW'IBIGORI,111
UBUDOZI BW' IMYENDA  YACITSE,1410
UBWUBATSI BW'AMAZU,4100
KUBAKA AMAZU,4100
UBWUBATSI BW' AMAZU ASANZWE,4100
UBUHINZI BW' IBIGORI,111
UBWUBATSI BW' AMAZU ASAZWE,4100
UBUCURUZI BW' AMAKARA MU ISOKO,4789
UBWOROZI BW' INKA,141
UBUHINZI BW'INGANO,111
UBUHINZI BW'IBIRAYI,113
UBUCURUZI BUDANDAZA IBYO KURYA MU BOUTIQUE,4711
UBUCURUZI BW'IBIRIBWA MURI BOUTIQUE,4711
IMIRIMO YO MU RUGO,9700
UBWUBATSI BW'INZU YO GUTURAMO,4100
BABUMBA AMATEGURA YO KUBAKISHA,2392
UBUHINZI BW'IBIGORI,111
UBUHINZI BW'IBIRAYI,113
BABUMBA AMATAFARI YO KUBAKISHA,2392
UBW,8890
KUBUMBA AMATAFARI,2392
UBUHINZI BW'ICYAYI,127
UBUHINZI BW'IBIJUMBA,113
UBUCURUZI BUDANDAZA IBIRAYI MU ISOKO,4781
BUBAKA AMAZU,4100
UBUHINZI BW'INGANO,111
BIGISHA ABANA MURUGO,8510
BAKORA AMATERASI Y'INDINGANIRE,113
BACUKURA AMABUYE Y'AGACIRO,899
UBUHINZI BW'IBIRAYI,113
UMUCURUZI W'IBIRAYI ADANDAZA,4781
UBUCURUZI BW'URWAGWA MU KABARI,5630
UBUHINZI BW'IBIRAYI,113
BAHINGA IBIRSYI,113
BAHINGA IBITUNGURU,119
UBUCUKUZI BW'AMABUYE YO KUBAKA,810
UBUHINZI BUVANGAVANZE,150
UBUHINZI BUVANGAVANZE,150
UBUCOMMISIONNAIRE BW'IBINTU BITANDUKANYE,6820
UBUHINZI BW'IBITUNGURU,113
UBUHINZI BW'IBITUNGURU,113
UBUHINZI BW'IBITUNGURU,113
UBUHINZI BW'IBITUNGURU,113
UBUHINZI BW'IBITUNGURU,113
UBUHINZI BUVANGAVANZE,150
UBUHINZI BW'BIRAYI,113
UBUREZI MU MASHURI YISUMBUYE,8521
BAHINGA IBIGORI,113
BAHINGA IBIGOLI,111
BAHINGA IBIRAYI,113
BAHINGA IBIGORI,111
BSHINGA IBIGORTI,111
BAHINGA IBIRAYI,113
BAHINGA IBIGORI,111
UBUHINZI BW'IBIRAYI,113
UBUHINZI BW' ICYAYI,127
UBUHINZI BW'ICYAYI,127
UBUHINZI BW'ICYAYI,127
URUGANDA RW'ICYAYI,1104
UBWUBATSI BW' AMAZU ASAZWE,4100
KUBUMBA AMATEGURA,2392
UBUHINZI BW' ICYAYI,127
UBWUBATSI BW' AMAZU ASAZWE,4100
UBUBUMBYI BW' AMATAFARI Y' IMPUNYU,2392
UBUCURUZI BWAMATUNGO MAGUFI,4620
UBWOROZI BW'INKA,141
UBWOROZI BW'INKA,141
KUBAKA AMAZU ASANZWE,4100
UBUHINZI BW'IBISHYIMBO,111
UBWUBATSI BW'AMAZU,4100
GUSHYIRA AMAZI MU MAZU,4322
KUBAKA AMAZU,4100
UBUDANDAZI BW' IRIBWA KU MUHANDA,4799
UBUCURUZI BW'IBIRIBWA MU ISOKO,4781
UBUHINZI UBWOROZI,150
UBUHINZI BW'INYANYA,113
GUSUKURA IMIHANDA,8129
UBUCURUZI BWA CANTINE,5629
UBUREZI MUMASHULI ABANZA NAYINSHUKE,8510
UBUREZI MUMASHULI ABANZA,8510
UBUREZI MUMASHULI ABANZA NAYISUMBUYE,8521
UBWUBATSI BW'AMAZU,4100
UBUHINZI BW'IMYUMBATI,113
UBUHINZI BWA KAWA,127
UBUHINZI BWA KAWA,127
UBWUBATSI BW'AMAZU,4100
GUTWARA ABANTU KURI MOTO,4921
UBUHINZI BW'INTORYI,111
"UBUHINZI BW'IBIJUMBA,AMATEKE N'IMYUMBATI",150
UBWIKOREZI BWIMIZIGO,5224
BAKORA ISUKU,8121
UBUBAJI BWIMBAHO,1610
UBWUBATSI BWAMAZU,4100
UBUDOZI BWIMYENDA KUCYARAHANI,1410
UBUHINZI BWIMYUMBATI,113
UBUHINZI BWIBIGORI,111
UBWUBATSI BWAMAZU,4100
UBWUBATSI BW AMASHULI,4100
KUBUMBA INKONO,2393
KUBUMBA INKONO,2393
UBUHINZI BW IMYUMBATI,113
UBUHINZI BW IMYUMBATI,113
UBUDOZI BW IMYENDA,1410
IMIRIMO YO MU RUGO,9700
UBUCURUZI BW'IBIRIBWA MU ISOKO,4781
UBUCURUZI BUDANDAZA MU ISOKO,4711
UBUHINZI BWA KAWA,127
UBUHINZI BWA KAWA,127
UBUHINZI BWA KAWA,127
UBUHINZI BWISHYAMBA,210
UBWOROZI BWINKA,141
UBWUBATSI BWAMAZU,4100
UBUHINZI MU BISHYIMBO,111
NYAKABYIZI MUBWUBATSI BW'AMAZU,4100
NYAKABYIZI MUBUHINZI BWIBIGORI,111
NYAKABYIZI MUBUHINZI BWIBIGORI NIBISHYIMBO,111
UBWUBATSI BW IBIRARO,4290
KUBAKA AMASHULI,4100
UBUHINZI BW IBISHYIMBO,111
UBWUBATSI BW AMAZU,4100
KUBAKA IBIRARO,4210
UBUHINZI BW'IBISHYIMBO,111
UBUHINZI BW'IBISHYIMBO,111
ISUKU MU MUHANDA,8129
UBUHINZI BW'IBISHYIMBO,111
UBWUBATSI BW'AMAZU YO GUTURAMO,4100
UBUCURUZI BURANGUZA IMBOGA(ISOMBE),4620
UBUCURUZI BURANGUZA IMBOGA(ISOMBE),4620
UBUHINZI BW'IBISHYIMBO,111
UBUHINZI BWICYAYI,127
UBUHINZI BWICYAYI,127
IMIRIMO YIBITARO,8610
